X,Y,Z
7.35775,-1.77069,0.0444312
7.35775,-1.78377,0.0444312
7.40175,1.92897,0.0311137
7.40175,1.91581,0.0311137
7.40175,1.90265,0.0311137
7.40075,1.88925,0.0311191
7.40075,1.87609,0.0311191
7.45075,1.87529,0.0308485
7.49375,1.87259,0.0306158
7.44675,-1.72697,0.0308702
7.38975,-1.72622,0.0311786
7.35775,-1.73145,0.0313518
7.35775,-1.74453,0.0313518
7.35775,-1.75761,0.0313518
7.35775,-1.77069,0.0313518
7.35775,-1.78377,0.0313518
7.40175,1.92897,0.0179549
7.40175,1.91581,0.0179549
7.40175,1.90265,0.0179549
7.40075,1.88925,0.0179621
7.40075,1.87609,0.0179621
7.45075,1.87529,0.0176014
7.49375,1.87259,0.0172911
7.44675,-1.72697,0.0176302
7.38975,-1.72622,0.0180415
7.35775,-1.73145,0.0182724
7.35775,-1.74453,0.0182724
7.35775,-1.75761,0.0182724
7.35775,-1.77069,0.0182724
7.35775,-1.78377,0.0182724
7.40175,1.92897,0.00479612
7.40175,1.91581,0.00479612
7.40175,1.90265,0.00479612
7.40075,1.88925,0.00480514
7.40075,1.87609,0.00480514
7.45075,1.87529,0.00435419
7.49375,1.87259,0.00396637
7.44675,-1.72697,0.00439027
7.38975,-1.72622,0.00490435
7.35775,-1.73145,0.00519296
7.35775,-1.74453,0.00519296
7.35775,-1.75761,0.00519296
7.35775,-1.77069,0.00519296
7.35775,-1.78377,0.00519296
7.40175,1.92897,-0.00836267
7.40175,1.91581,-0.00836267
7.40175,1.90265,-0.00836267
7.40075,1.88925,-0.00835183
7.40075,1.87609,-0.00835183
7.45075,1.87529,-0.00889298
7.49375,1.87259,-0.00935836
7.44675,-1.72697,-0.00884969
7.38975,-1.72622,-0.00823279
7.35775,-1.73145,-0.00788646
7.35775,-1.74453,-0.00788646
7.35775,-1.75761,-0.00788646
7.35775,-1.77069,-0.00788646
7.35775,-1.78377,-0.00788646
7.40175,1.92897,-0.0215214
7.40175,1.91581,-0.0215214
7.40175,1.90265,-0.0215214
7.40075,1.88925,-0.0215088
7.40075,1.87609,-0.0215088
7.45075,1.87529,-0.0221401
7.49375,1.87259,-0.0226831
7.44675,-1.72697,-0.0220896
7.38975,-1.72622,-0.0213699
7.35775,-1.73145,-0.0209659
7.35775,-1.74453,-0.0209659
7.35775,-1.75761,-0.0209659
7.35775,-1.77069,-0.0209659
7.35775,-1.78377,-0.0209659
7.40175,1.92897,-0.0346802
7.40175,1.91581,-0.0346802
7.40175,1.90265,-0.0346802
7.40075,1.88925,-0.0346658
7.40075,1.87609,-0.0346658
7.45075,1.87529,-0.0353873
7.49375,1.87259,-0.0360078
7.44675,-1.72697,-0.0353296
7.38975,-1.72622,-0.0345071
7.35775,-1.73145,-0.0340453
7.35775,-1.74453,-0.0340453
7.35775,-1.75761,-0.0340453
7.35775,-1.77069,-0.0340453
7.35775,-1.78377,-0.0340453
7.40175,1.92897,-0.047839
7.40175,1.91581,-0.047839
7.40175,1.90265,-0.047839
7.40075,1.88925,-0.0478228
7.40075,1.87609,-0.0478228
7.45075,1.87529,-0.0486345
7.49375,1.87259,-0.0493326
7.44675,-1.72697,-0.0485695
7.38975,-1.72622,-0.0476442
7.35775,-1.73145,-0.0471247
7.35775,-1.74453,-0.0471247
7.35775,-1.75761,-0.0471247
7.35775,-1.77069,-0.0471247
7.35775,-1.78377,-0.0471247
7.40175,1.92897,-0.0609978
7.40175,1.91581,-0.0609978
7.40175,1.90265,-0.0609978
7.40075,1.88925,-0.0609797
7.40075,1.87609,-0.0609797
7.45075,1.87529,-0.0618817
7.49375,1.87259,-0.0626573
7.44675,-1.72697,-0.0618095
7.38975,-1.72622,-0.0607813
7.35775,-1.73145,-0.0602041
7.35775,-1.74453,-0.0602041
7.35775,-1.75761,-0.0602041
7.35775,-1.77069,-0.0602041
7.35775,-1.78377,-0.0602041
7.40175,1.92897,-0.0741566
7.40175,1.91581,-0.0741566
7.40175,1.90265,-0.0741566
7.40075,1.88925,-0.0741367
7.40075,1.87609,-0.0741367
7.45075,1.87529,-0.0751288
7.49375,1.87259,-0.075982
7.44675,-1.72697,-0.0750495
7.38975,-1.72622,-0.0739185
7.35775,-1.73145,-0.0732835
7.35775,-1.74453,-0.0732835
7.35775,-1.75761,-0.0732835
7.35775,-1.77069,-0.0732835
7.35775,-1.78377,-0.0732835
7.40175,1.92897,-0.0873154
7.40175,1.91581,-0.0873154
7.40175,1.90265,-0.0873154
7.40075,1.88925,-0.0872937
7.40075,1.87609,-0.0872937
7.45075,1.87529,-0.088376
7.49375,1.87259,-0.0893067
7.44675,-1.72697,-0.0882894
7.38975,-1.72622,-0.0870556
7.35775,-1.73145,-0.086363
7.35775,-1.74453,-0.086363
7.35775,-1.75761,-0.086363
7.35775,-1.77069,-0.086363
7.35775,-1.78377,-0.086363
7.40175,1.92897,-0.100474
7.40175,1.91581,-0.100474
7.40175,1.90265,-0.100474
7.40075,1.88925,-0.100451
7.40075,1.87609,-0.100451
7.45075,1.87529,-0.101623
7.49375,1.87259,-0.102631
7.44675,-1.72697,-0.101529
7.38975,-1.72622,-0.100193
7.35775,-1.73145,-0.0994424
7.35775,-1.74453,-0.0994424
7.35775,-1.75761,-0.0994424
7.35775,-1.77069,-0.0994424
7.35775,-1.78377,-0.0994424
7.40175,1.92897,-0.113633
7.40175,1.91581,-0.113633
7.40175,1.90265,-0.113633
7.40075,1.88925,-0.113608
7.40075,1.87609,-0.113608
7.45075,1.87529,-0.11487
7.49375,1.87259,-0.115956
7.44675,-1.72697,-0.114769
7.38975,-1.72622,-0.11333
7.35775,-1.73145,-0.112522
